epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,378.74,0.69367,1.12098,1.86389,0.92326,0.91839,0.8158,0.87907,0.78228,0.91945,0.81673,0.8791,0.73744,0.47291,0.76743,0.67274,0.84105,0.00333181,0.00333181,0.00333181
2,749.356,0.61976,0.93248,0.84325,0.89241,0.93293,0.83802,0.8998,0.80657,0.93387,0.83883,0.8993,0.76491,0.45359,0.72457,0.55907,0.83728,0.00663215,0.00663215,0.00663215
3,1109.41,0.62603,0.92539,0.76716,0.89683,0.93318,0.83631,0.91149,0.81646,0.93343,0.83839,0.91129,0.76868,0.45813,0.7624,0.5315,0.8389,0.00989949,0.00989949,0.00989949
4,1468.23,0.61084,0.91308,0.69759,0.89409,0.94193,0.8557,0.92185,0.83505,0.9433,0.85691,0.92158,0.78704,0.42961,0.68004,0.46164,0.83507,0.0098515,0.0098515,0.0098515
5,1826.99,0.58047,0.86733,0.62431,0.88555,0.95104,0.86587,0.93228,0.85164,0.95213,0.86686,0.9317,0.80344,0.41487,0.64618,0.41527,0.82867,0.009802,0.009802,0.009802
6,2185.96,0.56227,0.83915,0.58002,0.88038,0.95321,0.87261,0.93786,0.86026,0.95537,0.87298,0.93725,0.80932,0.4032,0.64219,0.38943,0.82418,0.0097525,0.0097525,0.0097525
7,2543.77,0.54889,0.82055,0.55028,0.87604,0.95492,0.87933,0.94108,0.86726,0.95631,0.88062,0.9404,0.8165,0.39493,0.61707,0.36811,0.82085,0.009703,0.009703,0.009703
8,2900.89,0.54089,0.80694,0.53034,0.87311,0.95794,0.88012,0.94328,0.87261,0.9596,0.88018,0.94212,0.82146,0.38428,0.61098,0.35546,0.81692,0.0096535,0.0096535,0.0096535
9,3259.64,0.53139,0.79142,0.51497,0.87059,0.95783,0.88361,0.94508,0.87504,0.95917,0.88436,0.94411,0.82301,0.38409,0.60657,0.3439,0.81619,0.009604,0.009604,0.009604
10,3619.26,0.52571,0.78281,0.50177,0.86834,0.9592,0.88579,0.94651,0.87846,0.96036,0.8868,0.94564,0.82703,0.37465,0.59229,0.3366,0.81406,0.0095545,0.0095545,0.0095545
11,3974.43,0.5211,0.776,0.49432,0.86702,0.95863,0.88903,0.94836,0.88205,0.9599,0.88977,0.94735,0.83094,0.37251,0.58694,0.32705,0.81328,0.009505,0.009505,0.009505
12,4330.75,0.51565,0.76749,0.48255,0.8652,0.96039,0.88967,0.9494,0.8841,0.96173,0.88997,0.94828,0.8308,0.3671,0.58264,0.32149,0.811,0.0094555,0.0094555,0.0094555
13,4686.34,0.51272,0.7606,0.47828,0.86407,0.95903,0.89208,0.95059,0.8858,0.96047,0.89236,0.94963,0.83233,0.36546,0.57888,0.3165,0.81031,0.009406,0.009406,0.009406
14,5041.82,0.50966,0.75611,0.47244,0.86325,0.96085,0.89358,0.95147,0.88813,0.96188,0.89409,0.95043,0.83467,0.36062,0.57131,0.31051,0.80891,0.0093565,0.0093565,0.0093565
15,5397.72,0.50584,0.74909,0.46627,0.86149,0.96086,0.89609,0.95291,0.89097,0.96257,0.896,0.95181,0.83685,0.35577,0.56331,0.30514,0.80762,0.009307,0.009307,0.009307
16,5753.72,0.50426,0.74515,0.46111,0.86085,0.96197,0.89648,0.95338,0.89122,0.96278,0.89719,0.95227,0.83733,0.35725,0.56502,0.30238,0.80737,0.0092575,0.0092575,0.0092575
17,6108.11,0.50159,0.74124,0.45837,0.86009,0.96125,0.89805,0.95419,0.89305,0.96239,0.8987,0.95296,0.8393,0.35307,0.55893,0.29824,0.8062,0.009208,0.009208,0.009208
18,6464.77,0.49949,0.73755,0.45341,0.85915,0.9622,0.89816,0.95452,0.89404,0.96341,0.89875,0.95334,0.8401,0.35156,0.55581,0.29585,0.80567,0.0091585,0.0091585,0.0091585
19,6823.73,0.50031,0.73714,0.45102,0.85924,0.96188,0.89928,0.95525,0.89519,0.96319,0.89963,0.95407,0.84074,0.35006,0.55346,0.29336,0.80538,0.009109,0.009109,0.009109
20,7179.75,0.49746,0.73304,0.4489,0.8578,0.96042,0.90112,0.9556,0.89594,0.96206,0.90127,0.95433,0.84151,0.34842,0.55155,0.29106,0.8044,0.0090595,0.0090595,0.0090595
21,7535.84,0.49568,0.7303,0.44521,0.85752,0.96176,0.90095,0.95597,0.89687,0.96288,0.90153,0.95478,0.8422,0.34649,0.55016,0.28918,0.80406,0.00901,0.00901,0.00901
22,7891.72,0.49349,0.72764,0.44207,0.85711,0.96108,0.90215,0.95629,0.89727,0.96226,0.90242,0.95498,0.8425,0.34572,0.54812,0.28763,0.8036,0.0089605,0.0089605,0.0089605
23,8248.65,0.49186,0.72112,0.44089,0.85646,0.9604,0.90302,0.95651,0.89766,0.96257,0.90235,0.95515,0.84318,0.34524,0.54731,0.28646,0.80328,0.008911,0.008911,0.008911
24,8605.96,0.49043,0.72134,0.43636,0.85577,0.96071,0.9029,0.95671,0.89814,0.96231,0.90279,0.95543,0.84357,0.34411,0.54585,0.28483,0.80299,0.0088615,0.0088615,0.0088615
25,8966.69,0.48842,0.71672,0.43685,0.855,0.96023,0.90379,0.95698,0.89846,0.96153,0.90404,0.95574,0.84381,0.34404,0.54498,0.28375,0.80274,0.008812,0.008812,0.008812
26,9344.95,0.48833,0.71648,0.4352,0.85497,0.95912,0.90503,0.95725,0.89899,0.96065,0.90512,0.95597,0.84407,0.34336,0.54431,0.28259,0.80244,0.0087625,0.0087625,0.0087625
27,9702.8,0.48831,0.71649,0.43467,0.85464,0.95935,0.90517,0.95742,0.89942,0.96178,0.90475,0.95611,0.84445,0.34274,0.54291,0.28158,0.80218,0.008713,0.008713,0.008713
28,10060.2,0.48495,0.7125,0.43039,0.85389,0.95992,0.90525,0.95758,0.89965,0.96155,0.90543,0.95631,0.84466,0.34232,0.54178,0.2808,0.80197,0.0086635,0.0086635,0.0086635
29,10416.2,0.48446,0.70907,0.42943,0.85381,0.95999,0.90549,0.95784,0.89994,0.9616,0.90545,0.95648,0.84503,0.34209,0.54092,0.28022,0.80188,0.008614,0.008614,0.008614
30,10776.1,0.48473,0.7109,0.42895,0.85371,0.96002,0.90565,0.95789,0.90014,0.96156,0.90583,0.95655,0.8453,0.34177,0.54028,0.27961,0.80172,0.0085645,0.0085645,0.0085645
31,11153.7,0.48338,0.70725,0.42678,0.85303,0.9609,0.90537,0.95806,0.90044,0.96216,0.90574,0.95679,0.84573,0.34143,0.53918,0.27892,0.80161,0.008515,0.008515,0.008515
32,11521.6,0.48267,0.70716,0.42614,0.85305,0.96158,0.90485,0.95815,0.90068,0.96288,0.90522,0.95691,0.8459,0.34105,0.53849,0.27832,0.80151,0.0084655,0.0084655,0.0084655
33,11882.8,0.48173,0.70347,0.42326,0.8525,0.96184,0.90479,0.9582,0.90087,0.96323,0.90523,0.95697,0.84601,0.34073,0.53798,0.27785,0.80141,0.008416,0.008416,0.008416
34,12239.1,0.48156,0.70534,0.42374,0.85191,0.96184,0.90476,0.95829,0.90094,0.96348,0.9049,0.95703,0.84614,0.34055,0.5374,0.27748,0.80129,0.0083665,0.0083665,0.0083665
35,12596.4,0.48035,0.70339,0.42176,0.85166,0.96197,0.90474,0.95841,0.90106,0.96413,0.90459,0.95711,0.84639,0.34041,0.53661,0.27705,0.80115,0.008317,0.008317,0.008317
36,12952.2,0.47919,0.70032,0.41902,0.85182,0.96215,0.90484,0.95849,0.90127,0.96408,0.90486,0.95724,0.84659,0.34025,0.53602,0.27674,0.8011,0.0082675,0.0082675,0.0082675
37,13306.1,0.4786,0.69863,0.41967,0.85179,0.96257,0.90459,0.9586,0.90145,0.96442,0.90471,0.95725,0.84661,0.34016,0.5357,0.27632,0.80104,0.008218,0.008218,0.008218
38,13662.7,0.47827,0.6994,0.41902,0.85153,0.96275,0.9047,0.95868,0.90159,0.96448,0.90477,0.95737,0.84671,0.34012,0.53536,0.27614,0.80096,0.0081685,0.0081685,0.0081685
39,14019.7,0.47775,0.69553,0.41714,0.85104,0.96287,0.90471,0.95877,0.9017,0.96428,0.90508,0.9574,0.84688,0.33984,0.53478,0.27585,0.80087,0.008119,0.008119,0.008119
40,14374.3,0.47575,0.69345,0.41489,0.85057,0.96274,0.90501,0.95887,0.90182,0.96417,0.90541,0.95748,0.84704,0.33975,0.53435,0.27557,0.80081,0.0080695,0.0080695,0.0080695
41,14731,0.47535,0.69266,0.41429,0.85022,0.96204,0.90572,0.95892,0.90195,0.96411,0.90542,0.95756,0.84725,0.33939,0.53362,0.27521,0.80067,0.00802,0.00802,0.00802
42,15085.6,0.47531,0.69316,0.41411,0.85015,0.96231,0.90549,0.95898,0.90204,0.96421,0.90552,0.95763,0.84732,0.33907,0.53316,0.27487,0.80058,0.0079705,0.0079705,0.0079705
43,15442.2,0.47574,0.6931,0.41471,0.85052,0.96263,0.90534,0.95908,0.9021,0.96474,0.90514,0.95772,0.84753,0.33894,0.53242,0.27462,0.80051,0.007921,0.007921,0.007921
44,15803.8,0.47432,0.69091,0.41211,0.84987,0.96299,0.90515,0.95915,0.9022,0.96486,0.90524,0.95788,0.84767,0.33886,0.53203,0.27435,0.80043,0.0078715,0.0078715,0.0078715
45,16159.6,0.47416,0.69161,0.41165,0.8491,0.96326,0.90504,0.95919,0.90229,0.96507,0.90532,0.95792,0.84772,0.33863,0.53148,0.27399,0.80031,0.007822,0.007822,0.007822
46,16515.5,0.47324,0.68829,0.40992,0.84962,0.96333,0.90511,0.9592,0.90232,0.96526,0.90512,0.95803,0.84785,0.33849,0.53118,0.2737,0.80027,0.0077725,0.0077725,0.0077725
47,16870.5,0.47126,0.68635,0.40935,0.84875,0.96356,0.90507,0.95927,0.90242,0.96525,0.9054,0.95802,0.84789,0.33831,0.53066,0.2734,0.80023,0.007723,0.007723,0.007723
48,17226.1,0.47289,0.68759,0.40866,0.84889,0.96359,0.90516,0.95936,0.9025,0.96518,0.90545,0.95804,0.84805,0.33806,0.53024,0.27302,0.80015,0.0076735,0.0076735,0.0076735
49,17581.9,0.47188,0.68512,0.40806,0.84885,0.96355,0.9054,0.95943,0.90271,0.9649,0.90586,0.95818,0.84807,0.33776,0.52977,0.27265,0.80006,0.007624,0.007624,0.007624
50,17936.5,0.47308,0.68596,0.40914,0.84931,0.96338,0.9058,0.95949,0.90279,0.96538,0.90573,0.95823,0.84822,0.33752,0.52924,0.27238,0.79996,0.0075745,0.0075745,0.0075745
51,18292.8,0.47152,0.68833,0.40859,0.84883,0.96408,0.90543,0.95957,0.90299,0.96539,0.9058,0.95827,0.84847,0.3373,0.52885,0.27198,0.79991,0.007525,0.007525,0.007525
52,18648.1,0.46983,0.6822,0.40631,0.84821,0.96429,0.90529,0.95956,0.90301,0.96593,0.9054,0.95832,0.84849,0.33732,0.52869,0.27164,0.79985,0.0074755,0.0074755,0.0074755
53,19003.6,0.47027,0.6837,0.40658,0.84829,0.96405,0.90566,0.95966,0.90321,0.96583,0.90547,0.95843,0.84866,0.33694,0.52839,0.27136,0.79977,0.007426,0.007426,0.007426
54,19359.4,0.4695,0.68089,0.40491,0.8482,0.96366,0.90597,0.9597,0.90332,0.96542,0.90597,0.95849,0.84881,0.33663,0.52773,0.27108,0.79967,0.0073765,0.0073765,0.0073765
55,19711.9,0.46755,0.67945,0.40314,0.84753,0.96309,0.90653,0.95975,0.90348,0.96472,0.90654,0.95857,0.84903,0.33646,0.52717,0.27076,0.7996,0.007327,0.007327,0.007327
56,20065,0.46825,0.68128,0.40487,0.84809,0.96295,0.90682,0.95985,0.90353,0.96483,0.90657,0.95863,0.84907,0.33625,0.52676,0.27048,0.79949,0.0072775,0.0072775,0.0072775
57,20420.1,0.46932,0.68223,0.40387,0.84751,0.96293,0.90708,0.9599,0.90363,0.96435,0.9072,0.95867,0.84916,0.33622,0.52619,0.27019,0.79942,0.007228,0.007228,0.007228
58,20774.2,0.46733,0.68007,0.40227,0.84704,0.96216,0.90795,0.95996,0.90382,0.96416,0.90776,0.95881,0.8494,0.33581,0.52561,0.26987,0.7993,0.0071785,0.0071785,0.0071785
59,21129.3,0.46745,0.67958,0.40268,0.84712,0.96249,0.90777,0.96002,0.90401,0.96439,0.9076,0.95887,0.84953,0.33538,0.52534,0.26952,0.7992,0.007129,0.007129,0.007129
60,21484.1,0.46781,0.67781,0.40269,0.8476,0.96235,0.90811,0.96006,0.90421,0.96459,0.9077,0.95895,0.84962,0.33538,0.5251,0.26932,0.79913,0.0070795,0.0070795,0.0070795
61,21838.1,0.46684,0.67712,0.40128,0.84709,0.96255,0.9082,0.96016,0.90443,0.96453,0.90798,0.95903,0.84984,0.3351,0.52461,0.26894,0.79903,0.00703,0.00703,0.00703
62,22192,0.4666,0.6771,0.40045,0.84694,0.96391,0.90732,0.96022,0.9046,0.96497,0.9078,0.95914,0.84992,0.3349,0.5241,0.26871,0.7989,0.0069805,0.0069805,0.0069805
63,22545.8,0.46533,0.67588,0.3997,0.84663,0.96358,0.90779,0.96026,0.90468,0.96479,0.90814,0.95913,0.85,0.33483,0.52365,0.26859,0.7988,0.006931,0.006931,0.006931
64,22900,0.46553,0.67421,0.39938,0.84619,0.96309,0.90816,0.96032,0.90492,0.96525,0.90761,0.95923,0.85013,0.33454,0.52329,0.26834,0.79866,0.0068815,0.0068815,0.0068815
