epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,384.084,0.87381,1.9775,2.85608,1.03885,0.06968,0.62951,0.06932,0.05773,0.06819,0.59741,0.06548,0.04667,0.65939,1.59787,2.25645,0.95591,0.00333181,0.00333181,0.00333181
2,753.841,0.79314,1.73032,2.34848,0.98936,0.07907,0.58131,0.0806,0.068,0.07707,0.56655,0.07637,0.05566,0.64436,1.52169,2.16766,0.93541,0.00664315,0.00664315,0.00664315
3,1120.49,0.79241,1.70078,2.28229,0.98453,0.07974,0.62127,0.08311,0.07006,0.07832,0.59351,0.07894,0.05729,0.63407,1.51038,2.12554,0.93738,0.00993249,0.00993249,0.00993249
4,1484.88,0.77388,1.68004,2.22064,0.97913,0.07852,0.68517,0.08567,0.07424,0.07794,0.64346,0.0823,0.06157,0.58812,1.43887,2.0677,0.91812,0.009901,0.009901,0.009901
5,1849.15,0.73775,1.63081,2.16144,0.96667,0.08131,0.67036,0.08891,0.07703,0.08025,0.64608,0.0854,0.06408,0.57351,1.3727,2.03432,0.91311,0.009868,0.009868,0.009868
6,2213.88,0.71144,1.58386,2.12713,0.95725,0.08226,0.66692,0.09028,0.07911,0.08061,0.65357,0.08709,0.06597,0.54914,1.3451,2.0149,0.90457,0.009835,0.009835,0.009835
7,2577.21,0.69334,1.55136,2.10509,0.95039,0.08268,0.67803,0.09137,0.08064,0.08103,0.66419,0.08831,0.06735,0.54013,1.31544,1.99888,0.89772,0.009802,0.009802,0.009802
8,2940.42,0.68422,1.53082,2.09185,0.94617,0.083,0.68938,0.09164,0.08105,0.08147,0.67619,0.08869,0.06796,0.52899,1.29049,1.98666,0.89343,0.009769,0.009769,0.009769
9,3302.31,0.67315,1.51344,2.08023,0.94167,0.08314,0.69426,0.09345,0.08318,0.08209,0.66885,0.09051,0.06992,0.5134,1.27142,1.976,0.88813,0.009736,0.009736,0.009736
10,3665.6,0.66789,1.50622,2.07385,0.94037,0.08379,0.69288,0.09453,0.08418,0.08227,0.6801,0.09173,0.071,0.51374,1.25426,1.971,0.88609,0.009703,0.009703,0.009703
